課程名稱,老師,學分數
農村生活臺語會話,"沈原民
二 4,5
共103",2 學分
臺灣農業政策與新知,"沈原民
三 8,9
共104",2 學分
森林醫學點線面,"蘇大成
四 6,7
普103",2 學分
從善終的故事學習生命的智慧,"蔡兆勳
五 8,9
普102",2 學分
古琴音樂欣賞與實習【一】,"李孔元
二 6,7
樂學館106",2 學分
音景：世界音樂與臺北,"陳人彥
二 7,8,9
普506",3 學分
音樂、演化與大腦,"蔡振家
五 6,7,8
新304",3 學分
批判思考與公共論述,"鄧志松
二 3,4,5
普303",3 學分
朝鮮王朝的建立與發展,"姜智恩
五 8,9
普203",2 學分
歐盟莫內講座--經濟貨幣整合：歐盟理論與實證,"葉國俊
四 7,8,9
共105",3 學分
世界視野中的東亞,"李宥霆
一 6,7
國發206",2 學分
海洋科學概論,"楊穎堅
五 3,4
海研大講堂",2 學分
海洋科學概論,"楊穎堅
五 6,7
海研大講堂",2 學分
國際關係二,"郭銘傑
四 6,7
社科和碩講堂",2 學分
國際關係概論,"唐欣偉
五 3,4
社科303",2 學分
全球通識講座-決策者的危機處理機制,"徐斯勤
四 3,4
博雅103",2 學分
地緣政治下的企業治理,"郭紀賢
四 6,7
社科403",2 學分
全球網路治理,"郭銘傑
五 A,B,C",2 學分
哲學概論,"苑舉正
三 3,4
普203",2 學分
哲學概論,"王榮麟
三 8,9
博雅302",2 學分
哲學概論,"周先捷
三 3,4
新102",2 學分
哲學概論,"苑舉正
四 6,7
新204",2 學分
邏輯,"曾漢塘
五 3,4
博雅301",2 學分
普通物理學甲下,"楊珮芸
二 3,4 / 四 3,4
綜603",3 學分
普通物理學甲下,"楊超強
二 3,4 / 四 3,4
新503",3 學分
普通物理學甲下,"胡德邦
四 6,7 / 五 3,4
共301",3 學分
普通物理學甲下,"陳凱風
二 3,4 / 四 3,4
博雅202",3 學分
普通物理學甲下,"趙治宇
二 3,4 / 四 3,4
新303
/
共301",3 學分
普通物理學甲下,"楊珮芸
三 3,4 / 五 3,4
共301
/
共101",3 學分
普通物理學甲下,"李侑昇
三 3,4 / 五 3,4
綜603",3 學分
普通物理學乙,"楊珮芸
一 2,3,4
共103",3 學分
普通物理學乙下,"梁國淦
一 9,10 / 三 6,7
共104",3 學分
演化、宇宙、人,"侯維恕
五 3,4
共104",2 學分
舊生專題：「我在臺大應該學會的幾件事…」,"曾雪峰
三 3,4
綜401",2 學分
日本外交探討,"何思慎
一 8,9
普501",2 學分
日本經濟動向分析,"蘇顯揚
四 8,9
新301",2 學分
人口問題與研究,"葉德蘭
三 3,4
博雅103",2 學分
解決問題理論與實務,"李聖珉
一 A,B,C,D
普102",3 學分
公民教育概論與實踐,"丁照棣
一 8,9,10
共103",3 學分
藝術與創作,"謝宏達
二 6,7,8
新404",3 學分
領導力講座,"張豐丞
二 6,7
博雅102",2 學分
心與腦,"賴文崧
四 6,7,8
博雅101",3 學分
普通心理學,"曾祥非
二 6,7,8
綜合大講堂",3 學分
普通心理學,"葉俊毅
一 2,3,4
共301",3 學分
普通心理學,"曾祥非
一 7,8,9
博雅103",3 學分
普通心理學,"郭柏呈
五 7,8,9
新302",3 學分
普通心理學,"周珮雯
三 2,3,4
博雅101",3 學分
普通心理學,"羅達中
三 7,8,9
博雅101",3 學分
普通心理學,"周珮雯
一 7,8,9
博雅201",3 學分
普通心理學,"周珮雯
五 7,8,9
博雅201",3 學分
普通心理學,"鄧善娟
二 2,3,4
博雅102",3 學分
普通心理學,"周珮雯
一 7,8,9
博雅201",3 學分
普通心理學,"周珮雯
五 7,8,9
博雅201",3 學分
普通心理學,"鄧善娟
二 2,3,4
博雅102",3 學分
普通心理學,"汪芸涵
三 7,8,9
新304",3 學分
普通心理學,"裴如淳
一 2,3,4
博雅101",3 學分
幸福與人生,"周珮雯
一 2,3,4
博雅103",3 學分
社會學甲下,"陳東升
二 2,3,4
共101",3 學分
社會學,"蘇國賢
四 2,3,4
社101",3 學分
社會學,"曾嬿芬
二 7,8,9
博雅302",3 學分
社會學,"簡妤儒
一 2,3,4
新303",3 學分
社會學,"李令儀
一 7,8,9
新303",3 學分
社會學,"李令儀
三 7,8,9
新302",3 學分
音樂鑑賞,"陳惠齡
二 3,4
和平 誠201",2 學分
音樂鑑賞,"劉錦紋
一 8,9
公館 Ｓ101",2 學分
臺灣小說選讀,"林淑慧
三 3,4
和平 教202會議",2 學分
臺灣流行文化,"莊佳穎
五 3,4
和平 誠101",2 學分
科技倫理,"劉啟民
一 6,7
和平 誠109",2 學分
科技倫理,"劉啟民
一 8,9
和平 誠109",2 學分
星星月亮太陽－天文漫談,"橋本康
三 3,4
公館 Ｅ202",2 學分
